열1,열12
공사장,공사장
공사판,공사장
공산당,공산당
공수부대,공수부대
공약,공약
공인중개사,공인중개사
공장,공장
사업,공장
공장장,공장장
공중,공중
공중,공중
민간,공중
서민,공중
일반인,공중
공직,공직
공무,공직
공책,공책
노트,공책
과,과
-꾼,과
전공,과
똑바로,과
과,과
전공,과
과거,과거
전,과거
지나다,과거
과거,과거
지나다,과거
과대,과대
과목,과목
강좌,과목
교과,과목
학과목,과목
교과목,과목
과부,과부
홀어머니,과부
홀어미,과부
과일,과일
과실,과일
과장,과장
과징금,과징금
과테말라,과테말라
과학,과학
과학자,과학자
관계없다,관계없다
막론하다,관계없다
무관하다,관계없다
상관없다,관계없다
상관하지 않다,관계없다
관공서,관공서
관광,관광
관광객,관광객
관대하다,관대하다
너그럽다,관대하다
관람,관람
관리,관리
관리하다,관리
관리비,관리비
관리인,관리인
관리자,관리인
관용어,관용어
숙어,관용어
관인,관인
공인,관인
인관,관인
직인,관인
관절,관절
관중,관중
관객,관중
구경꾼,관중
관철,관철
관통,관철
꿰뚫다,관철
알아맞히다,관철
관청,관청
관헌,관청
관하다,관하다
대하다,관하다
관형사,관형사
광,광
광선,광
라이트,광
빛,광
조명,광
비추다,광
비치다,광
광,광
창고,광
광복절,광복절
광부,광부
광산,광산
광영,광영
영광,광영
광주,광주
광주시,광주
광택,광택
광,광택
광화문,광화문
우물,광화문
괘씸하다,괘씸하다
괜찮다,괜찮다
무방하다,괜찮다
괴롭히다,괴롭히다
괴짜,괴짜
괴팍하다,괴팍하다
굉장하다,굉장하다
심하다,굉장하다
심각하다,굉장하다
교감,교감
교과서,교과서
교본,교과서
교도소,교도소
감옥,교도소
형무소,교도소
교류,교류
교제,교류
사귀다,교류
사교,교류
교만,교만
거만,교만
오만,교만
건방지다,교만
잘난 척하다,교만
교무실,교무실
교원실,교무실
서무실,교무실
교복,교복
학생복,교복
교사,교사
교원,교사
사범,교사
선생,교사
스승,교사
교직자,교사
교수,교수
교실,교실
교육대학교,교육대학교
교육대학,교육대학교
교육자,교육자
교육인,교육자
교육청,교육청
교장,교장
교차로,교차로
사거리,교차로
교차점,교차점
교통,교통
교통비,교통비
교통사고,교통사고
교파,교파
종파,교파
교환,교환
바꾸다,교환
맞바꾸다,교환
교활,교활
여우,교활
교회,교회
구간,구간
구걸,구걸
동냥,구걸
구공탄,구공탄
연탄,구공탄
구급차,구급차
응급차,구급차
앰뷸런스,구급차
구기다,구기다
구두,구두
구두쇠,구두쇠
수전노,구두쇠
구름,구름
구매,구매
구입,구매
쇼핑,구매
매수,구매
매입,구매
사다,구매
구매자,구매자
구실,구실
명목,구실
핑계,구실
구약,구약
구어,구어
구역,구역
지역,구역
구,구역
구원,구원
구출,구원
구하다,구원
건지다,구원
구월,구월
구인,구인
구주,구주
유럽,구주
구청,구청
구타,구타
국,국
국가시험,국가시험
국가 고시,국가시험
국군,국군
국립,국립
국민,국민
백성,국민
국방,국방
국수,국수
면,국수
국유,국유
국제,국제
세계,국제
세상,국제
국제연합,국제연합
유엔,국제연합
국회,국회
국회의사당,국회의사당
군사령관,군사령관
군용기,군용기
군용비행기,군용기
군인,군인
군사,군인
병사,군인
병정,군인
장병,군인
군집,군집
떼,군집
무리,군집
굴(구멍),굴
굴(조개),굴
굽다,굽다
궁금하다,궁금하다
궁색,궁색
권리,권리
권한,권리
권세,권세
권력,권세
세력,권세
권씨,권씨
권위,권위
권위자,권위자
권총,권총
총,권총
당기다,권총
쏘다,권총
권투,권투
복싱,권투
귀,귀
귀감,귀감
모범,귀감
본받다,귀감
귀걸이,귀걸이
귀고리,귀걸이
귀국,귀국
착륙,귀국
내려앉다,귀국
귀신(鬼神)같이 사라지다,귀신같이 사라지다
귀신,귀신
마귀,귀신
사탄,귀신
악마,귀신
유령,귀신
귀여워하다,귀여워하다
귀엽다,귀여워하다
귀중하다,귀중하다
중요,귀중하다
막중하다,귀중하다
소중하다,귀중하다
귀찮다,귀찮다
불편,귀찮다
성가시다,귀찮다
귀하다,귀하다
존귀,귀하다
규약,규약
규율,규약
규칙,규약
조항,규약
균일,균일
동일,균일
골고루,균일
일제히,균일
균형,균형
대등,균형
수평,균형
평등,균형
표준,균형
평평하다,균형
그,그
그끄저께,그끄저께
그냥,그냥
그저,그냥
그녀,그녀
그다음,그다음
다음,그다음
그대로,그대로
그렇다,그렇다
그러하다,그렇다
그릇되다,그릇되다
틀리다,그릇되다
그리기,그리기
미술,그리기
회화,그리기
그리다,그리기
그림,그리기
그리스,그리스
그리워하다,그리워하다
동경,그리워하다
사모,그리워하다
그리다,그리워하다
그립다,그리워하다
그만,그만
그만이다,그만
그만,그만
금지,그만
